root	mode	group	vs_2026_09_17	first_line
testdir:fixedbugs/issue15747.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue16037_run.go	compiled	G1-import-resolution		fixedbugs/issue16037_run.go:63:2: LOWER-EUNDEFINED: undefined: fs
testdir:fixedbugs/issue16037_run.go	interpreted	G1-import-resolution		fixedbugs/issue16037_run.go:63:48: BASHPP-EEXPR-CONVERT: cannot convert Int to fs.FileMode
testdir:fixedbugs/issue16241.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue16241_64.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue16249.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue16331.go	interpreted	G3-native-bridge-callbacks		gosource: dependency mutation of interpreter-owned references is unsupported for Interface
testdir:fixedbugs/issue16369.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue17318.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue17381.go	interpreted	excluded:unsafe-reinterpretation		fixedbugs/issue17381.go:38:61: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/issue18459.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue18882.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue18895.go	interpreted	excluded:compiler-diagnostic		p.go:7: missing error "can inline"
testdir:fixedbugs/issue19078.go	interpreted	G4-language-type-gaps		fixedbugs/issue19078.go:20:15: BASHPP-EEXPR-CONVERT: cannot convert String to unsafe.Pointer
testdir:fixedbugs/issue19113.go	interpreted	G3-native-bridge-callbacks		fixedbugs/issue19113.go:76:3: gosource: asynchronous or retained original function callbacks are unsupported for reflect.ValueOf
testdir:fixedbugs/issue19168.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue19261.go	interpreted	excluded:compiler-diagnostic		p.go:7: missing error "can inline F"
testdir:fixedbugs/issue19658.go	compiled	G1-import-resolution	new	fixedbugs/issue19658.go:74:3: LOWER-EUNDEFINED: undefined: fs
testdir:fixedbugs/issue19658.go	interpreted	G1-import-resolution	new	fixedbugs/issue19658.go:74:46: BASHPP-EEXPR-CONVERT: cannot convert Int to fs.FileMode
testdir:fixedbugs/issue19743.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue20014.go	interpreted	G3-native-bridge-callbacks		gosource: build dependency bridge: exit status 2: <run>:411:103: tracked field must be in named struct type
testdir:fixedbugs/issue20027.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue20250.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue20529.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue20780.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue20780b.go	interpreted	G2-interpreter-speed		command exceeded time limit
testdir:fixedbugs/issue21576.go	compiled	G1-import-resolution	new	fixedbugs/issue21576.go:44:2: LOWER-EUNDEFINED: undefined: fs
testdir:fixedbugs/issue21576.go	interpreted	G1-import-resolution	new	fixedbugs/issue21576.go:44:49: BASHPP-EEXPR-CONVERT: cannot convert Int to fs.FileMode
testdir:fixedbugs/issue21709.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue22200.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue22200b.go	interpreted	excluded:gc-only-check		compilation succeeded unexpectedly
testdir:fixedbugs/issue22781.go	interpreted	G2-interpreter-speed	new	command exceeded time limit
testdir:fixedbugs/issue22877.go	interpreted	G5-backend-scope-review		Bash++ backend unsupported generate phase: compile input "<run>" is not a Go source file
testdir:fixedbugs/issue23521.go	interpreted	excluded:compiler-diagnostic		Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning
testdir:fixedbugs/issue24491a.go	interpreted	excluded:gc-observation		fixedbugs/issue24491a.go:21:24: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
testdir:fixedbugs/issue24491b.go	interpreted	excluded:gc-observation		fixedbugs/issue24491b.go:22:24: BASHPP-EEXPR-FORM: unsupported scalar expression *syntax.BashPPAddressExpr
